query_template,params,startup_cost,total_cost,plan_rows,plan_width,num_nodes,plan_depth,num_relations,n_seq_scan,n_index_scan,n_bitmap_scan,n_hash_join,n_merge_join,n_nested_loop,n_sort,n_aggregate,n_gather,n_materialize,workers_planned,sum_est_rows,max_est_rows,est_scan_rows,sum_est_width,cost_per_est_row,startup_cost_frac,n_joins,planning_time_ms,execution_time_ms,actual_root_rows,query_id
Q16,"{""brand"": ""Brand#32"", ""typeprefix"": ""PROMO BRUSHED"", ""sizes"": ""13, 17, 20, 22, 35, 44, 48, 49""}",35821.86,35861.79,15972,44,9,6,3,2,1,0,1,0,0,2,1,1,0,2,331880,166667,179008,300,2.245150566581106,0.9988587056389088,1,0.446,724.131,18352.0,242
Q14,"{""date"": ""1996-10-01""}",118899.74,118899.75,1,32,8,5,2,1,0,2,1,0,0,0,2,1,0,2,320969,84226,118427,259,59449.875,0.9999915055203605,1,0.31,211.421,1.0,243
Q21,"{""nation"": ""GERMANY""}",72876.29,72876.3,1,34,17,11,4,3,3,0,1,0,4,2,1,1,0,2,492655,305684,315908,432,36438.15,0.9999861410892005,5,2.352,3223.204,100.0,244
Q12,"{""m1"": ""FOB"", ""m2"": ""REG AIR"", ""date"": ""1994-01-01""}",210250.09,210485.2,7,27,8,6,2,2,0,0,1,0,0,1,2,1,0,2,671558,624951,636595,185,26310.65,0.9988782637531581,1,0.384,694.925,2.0,245
Q19,"{""b1"": ""Brand#55"", ""b2"": ""Brand#53"", ""b3"": ""Brand#24"", ""q1"": 8, ""q2"": 13, ""q3"": 22}",33367.06,33367.07,1,32,6,4,2,1,1,0,0,0,1,0,2,1,0,2,260,207,208,159,16683.535,0.9999697315427593,1,0.538,74.86,1.0,246
Q11,"{""nation"": ""ARGENTINA""}",10179.8,10206.47,10667,36,15,5,3,2,2,4,0,0,4,1,2,0,0,0,87897,32000,962,192,0.9567369703787026,0.9972892401349208,4,0.637,200.226,786.0,247
Q9,"{""color"": ""sandy""}",66555.5,66580.67,169,90,16,9,6,3,3,0,2,0,3,1,1,1,0,2,369426,333333,339253,575,391.651,0.9996069488794739,5,4.335,3362.816,175.0,248
Q14,"{""date"": ""1997-11-01""}",117649.55,117649.56,1,32,8,5,2,1,0,2,1,0,0,0,2,1,0,2,315306,83333,117139,259,58824.78,0.9999914152554821,1,0.317,207.515,1.0,249
Q3,"{""segment"": ""BUILDING"", ""date"": ""1995-03-23""}",203282.65,203282.67,10,44,11,8,3,2,1,0,1,0,1,2,1,1,0,2,1622065,320550,319512,256,18480.24272727273,0.9999949823810245,2,0.696,671.008,10.0,250
Q8,"{""nation"": ""CHINA"", ""region"": ""ASIA"", ""type"": ""LARGE POLISHED NICKEL""}",75778.7,76156.66,2406,64,21,9,7,4,4,0,3,0,4,1,1,1,0,2,36143,16549,637,522,31.639659326963027,0.9950240067775191,7,2.42,351.167,2.0,251
Q11,"{""nation"": ""CANADA""}",10179.8,10206.47,10667,36,15,5,3,2,2,4,0,0,4,1,2,0,0,0,87897,32000,962,192,0.9567369703787026,0.9972892401349208,4,1.107,219.926,819.0,252
Q5,"{""region"": ""AFRICA"", ""date"": ""1994-01-01""}",86447.59,86447.65,25,58,19,12,6,4,2,0,3,0,2,2,2,1,0,2,195834,75676,72546,588,3324.9096153846153,0.9999877383857354,5,2.78,929.606,5.0,253
Q9,"{""color"": ""dark""}",61040.27,61061.86,145,90,16,9,6,3,3,0,2,0,3,1,1,1,0,2,364278,333333,338411,575,418.2319178082192,0.9996300533581296,5,4.21,3710.13,175.0,254
Q8,"{""nation"": ""MOROCCO"", ""region"": ""AFRICA"", ""type"": ""SMALL BURNISHED STEEL""}",75778.7,76156.66,2406,64,21,9,7,4,4,0,3,0,4,1,1,1,0,2,36143,16549,637,522,31.639659326963027,0.9950240067775191,7,3.2,409.926,2.0,255
Q21,"{""nation"": ""INDIA""}",72876.29,72876.3,1,34,17,11,4,3,3,0,1,0,4,2,1,1,0,2,492655,305684,315908,432,36438.15,0.9999861410892005,5,2.335,3398.406,100.0,256
Q19,"{""b1"": ""Brand#35"", ""b2"": ""Brand#43"", ""b3"": ""Brand#11"", ""q1"": 5, ""q2"": 19, ""q3"": 26}",31450.77,31450.78,1,32,6,4,2,1,1,0,0,0,1,0,2,1,0,2,238,190,191,159,15725.39,0.999967887350096,1,0.56,79.324,1.0,257
Q6,"{""date"": ""1993-01-01"", ""discount"": 0.09, ""quantity"": 25}",168155.1,168155.11,1,32,5,4,1,0,0,2,0,0,0,0,2,1,0,2,937980,888598,49378,108,84077.555,0.9999939936764713,0,0.121,512.742,1.0,258
Q12,"{""m1"": ""RAIL"", ""m2"": ""TRUCK"", ""date"": ""1995-01-01""}",210270.21,210509.72,7,27,8,6,2,2,0,0,1,0,0,1,2,1,0,2,672438,624951,636815,185,26313.715,0.9988574928630712,1,0.384,693.929,2.0,259
Q2,"{""size"": 49, ""type"": ""NICKEL"", ""region"": ""MIDDLE EAST""}",58864.82,58864.83,1,192,22,8,5,5,4,0,2,0,5,1,1,1,0,2,343422,160000,10487,1634,29432.415,0.9999828423382461,7,1.459,571.944,100.0,260
Q22,"{""codes"": ""'13', '17', '20', '24', '29', '30', '33'""}",13017.65,13121.34,733,72,10,4,2,2,1,0,0,0,1,1,3,2,0,4,4814,1988,2734,318,17.876485013623977,0.9920220021733929,1,0.415,113.12,7.0,261
Q18,"{""q"": 315}",668875.7,668875.95,100,71,16,11,3,2,2,0,1,1,1,4,2,1,0,2,9176093,6001215,6776183,528,6622.534158415841,0.9999981311958799,3,1.003,4751.428,9.0,262
Q2,"{""size"": 9, ""type"": ""STEEL"", ""region"": ""MIDDLE EAST""}",54555.59,54555.59,1,192,22,8,5,5,4,0,2,0,5,1,1,1,0,2,343172,160000,10413,1634,27277.795,0.9999816704086527,7,1.408,588.887,100.0,263
Q19,"{""b1"": ""Brand#13"", ""b2"": ""Brand#52"", ""b3"": ""Brand#43"", ""q1"": 4, ""q2"": 17, ""q3"": 24}",32691.86,32691.87,1,32,6,4,2,1,1,0,0,0,1,0,2,1,0,2,252,201,202,159,16345.935,0.9999691064137227,1,0.564,79.142,1.0,264
Q20,"{""color"": ""yellow"", ""date"": ""1997-01-01"", ""nation"": ""CHINA""}",173752.44,173752.71,108,51,15,7,5,2,1,5,1,0,2,1,1,0,0,0,7164,2693,2423,328,1594.0615596330274,0.9999926908035518,3,0.664,1633.282,191.0,265
Q21,"{""nation"": ""UNITED KINGDOM""}",72876.29,72876.3,1,34,17,11,4,3,3,0,1,0,4,2,1,1,0,2,492655,305684,315908,432,36438.15,0.9999861410892005,5,2.366,3215.416,100.0,266
Q9,"{""color"": ""burlywood""}",55523.44,55541.31,120,90,16,9,6,3,3,0,2,0,3,1,1,1,0,2,359129,333333,337570,575,459.0190909090909,0.9996602589989506,5,3.009,3381.388,175.0,267
Q4,"{""date"": ""1994-07-01""}",71391.94,71437.05,5,24,8,6,2,0,1,2,0,0,1,1,2,1,0,2,93218,57582,23998,128,11906.175000000001,0.999354545651792,1,0.342,299.45,5.0,268
Q10,"{""date"": ""1994-12-01""}",194807.07,194807.12,20,202,16,10,4,3,0,2,3,0,0,2,1,1,0,2,1081584,599455,685559,1716,9276.529523809524,0.999994610080935,3,1.017,846.578,20.0,269
Q6,"{""date"": ""1993-01-01"", ""discount"": 0.02, ""quantity"": 25}",168150.35,168150.36,1,32,5,4,1,0,0,2,0,0,0,0,2,1,0,2,937132,888598,48530,108,84075.18,0.9999939935068025,0,0.118,521.573,1.0,270
Q9,"{""color"": ""firebrick""}",43023.96,43034.68,72,90,15,8,6,2,4,0,1,0,4,1,1,1,0,2,12978,10102,2557,571,589.5161643835617,0.9997276678328307,5,2.98,3366.031,175.0,271
Q1,"{""delta"": 116}",230220.63,230222.89,6,236,5,4,1,1,0,0,0,0,0,1,2,1,0,2,2439234,2439202,2439202,969,32888.98428571429,0.9999858398709186,0,0.159,2778.372,4.0,272
Q22,"{""codes"": ""'13', '18', '19', '23', '24', '29', '30'""}",13017.65,13121.34,733,72,10,4,2,2,1,0,0,0,1,1,3,2,0,4,4814,1988,2734,318,17.876485013623977,0.9920220021733929,1,0.414,111.508,7.0,273
Q12,"{""m1"": ""RAIL"", ""m2"": ""FOB"", ""date"": ""1997-01-01""}",210327.18,210579.11,7,27,8,6,2,2,0,0,1,0,0,1,2,1,0,2,674922,624951,637436,185,26322.38875,0.9987988894107805,1,0.377,713.366,2.0,274
Q5,"{""region"": ""MIDDLE EAST"", ""date"": ""1996-01-01""}",86626.88,86626.94,25,58,19,12,6,4,2,0,3,0,2,2,2,1,0,2,196871,76455,72546,588,3331.805384615385,0.9999877637630539,5,2.449,826.539,5.0,275
Q16,"{""brand"": ""Brand#51"", ""typeprefix"": ""SMALL BRUSHED"", ""sizes"": ""6, 9, 14, 31, 32, 33, 38, 43""}",35708.18,35747.91,15894,44,9,6,3,2,1,0,1,0,0,2,1,1,0,2,330242,166667,178870,300,2.2490034602076125,0.9988606645629194,1,0.438,726.421,18207.0,276
Q13,"{""w1"": ""pending"", ""w2"": ""deposits""}",144891.89,144892.39,200,16,10,8,2,1,1,0,1,0,0,2,3,1,0,2,2185176,624888,687388,104,720.8576616915424,0.9999896475608722,1,0.376,1042.422,42.0,277
Q12,"{""m1"": ""TRUCK"", ""m2"": ""AIR"", ""date"": ""1993-01-01""}",210273.6,210513.85,7,27,8,6,2,2,0,0,1,0,0,1,2,1,0,2,672586,624951,636852,185,26314.23125,0.9988540000859797,1,0.364,783.89,2.0,278
Q22,"{""codes"": ""'11', '12', '14', '20', '21', '24', '33'""}",13017.65,13121.34,733,72,10,4,2,2,1,0,0,0,1,1,3,2,0,4,4814,1988,2734,318,17.876485013623977,0.9920220021733929,1,0.332,111.16,7.0,279
Q19,"{""b1"": ""Brand#42"", ""b2"": ""Brand#15"", ""b3"": ""Brand#53"", ""q1"": 1, ""q2"": 13, ""q3"": 24}",33030.3,33030.31,1,32,6,4,2,1,1,0,0,0,1,0,2,1,0,2,256,204,205,159,16515.155,0.999969422950528,1,0.519,76.91,1.0,280
Q17,"{""brand"": ""Brand#41"", ""container"": ""LG JAR""}",196000.26,196000.27,1,32,9,4,2,2,0,2,1,0,0,0,2,1,0,2,6003816,6001215,6001330,106,98000.135,0.9999948469721651,1,0.309,1798.799,1.0,281
Q13,"{""w1"": ""express"", ""w2"": ""requests""}",144891.89,144892.39,200,16,10,8,2,1,1,0,1,0,0,2,3,1,0,2,2185176,624888,687388,104,720.8576616915424,0.9999896475608722,1,0.352,1056.587,41.0,282
Q14,"{""date"": ""1993-03-01""}",114883.86,114883.88,1,32,8,5,2,1,0,2,1,0,0,0,2,1,0,2,304133,83333,114598,259,57441.94,0.9999911215470652,1,0.258,207.236,1.0,283
Q15,"{""date"": ""1997-03-01""}",149008.83,149540.6,50,103,11,6,2,0,1,2,0,0,1,1,3,1,0,2,402559,238924,109600,434,2932.1686274509807,0.9964373124267761,1,0.23,423.282,1.0,284
Q10,"{""date"": ""1993-07-01""}",195204.46,195204.51,20,202,16,10,4,3,0,2,3,0,0,2,1,1,0,2,1091321,599455,686202,1716,9295.452857142858,0.9999946210534733,3,1.02,861.405,20.0,285
Q15,"{""date"": ""1994-06-01""}",149640.81,150172.58,50,103,11,6,2,0,1,2,0,0,1,1,3,1,0,2,366312,213338,98939,434,2944.5603921568627,0.9964523053922002,1,0.234,453.927,1.0,286
Q20,"{""color"": ""lime"", ""date"": ""1997-01-01"", ""nation"": ""RUSSIA""}",173752.44,173752.71,108,51,15,7,5,2,1,5,1,0,2,1,1,0,0,0,7164,2693,2423,328,1594.0615596330274,0.9999926908035518,3,0.715,1643.607,179.0,287
Q6,"{""date"": ""1993-01-01"", ""discount"": 0.06, ""quantity"": 25}",168157.11,168157.12,1,32,5,4,1,0,0,2,0,0,0,0,2,1,0,2,938340,888598,49738,108,84078.56,0.9999939937482649,0,0.123,531.01,1.0,288
Q11,"{""nation"": ""SAUDI ARABIA""}",10179.8,10206.47,10667,36,15,5,3,2,2,4,0,0,4,1,2,0,0,0,87897,32000,962,192,0.9567369703787026,0.9972892401349208,4,0.631,194.032,839.0,289
Q6,"{""date"": ""1993-01-01"", ""discount"": 0.03, ""quantity"": 24}",168141.57,168141.58,1,32,5,4,1,0,0,2,0,0,0,0,2,1,0,2,935564,888598,46962,108,84070.79,0.999993993193158,0,0.134,660.354,1.0,290
Q16,"{""brand"": ""Brand#34"", ""typeprefix"": ""LARGE BRUSHED"", ""sizes"": ""1, 9, 17, 19, 20, 35, 46, 49""}",35966.29,36006.46,16070,44,9,6,3,2,1,0,1,0,0,2,1,1,0,2,333958,166667,179182,300,2.2404617012009207,0.9988566258214271,1,0.493,1089.53,18356.0,291
Q14,"{""date"": ""1993-12-01""}",111785.19,111785.21,1,32,8,5,2,1,0,2,1,0,0,0,2,1,0,2,293332,83333,112141,259,55892.605,0.9999908754398239,1,0.511,238.951,1.0,292
Q2,"{""size"": 13, ""type"": ""TIN"", ""region"": ""AFRICA""}",55242.51,55242.52,1,192,22,8,5,5,4,0,2,0,5,1,1,1,0,2,343212,160000,10425,1634,27621.26,0.9999817173127274,7,1.572,566.359,100.0,293
Q11,"{""nation"": ""VIETNAM""}",10179.8,10206.47,10667,36,15,5,3,2,2,4,0,0,4,1,2,0,0,0,87897,32000,962,192,0.9567369703787026,0.9972892401349208,4,0.581,151.307,979.0,294
Q11,"{""nation"": ""BRAZIL""}",10179.8,10206.47,10667,36,15,5,3,2,2,4,0,0,4,1,2,0,0,0,87897,32000,962,192,0.9567369703787026,0.9972892401349208,4,0.739,146.844,907.0,295
Q15,"{""date"": ""1996-04-01""}",148931.34,149463.12,50,103,11,6,2,0,1,2,0,0,1,1,3,1,0,2,396845,234891,107919,434,2930.6494117647057,0.9964353986762843,1,0.237,496.865,1.0,296
Q18,"{""q"": 312}",668875.7,668875.95,100,71,16,11,3,2,2,0,1,1,1,4,2,1,0,2,9176093,6001215,6776183,528,6622.534158415841,0.9999981311958799,3,1.078,4936.101,10.0,297
Q14,"{""date"": ""1995-11-01""}",115278.56,115278.58,1,32,8,5,2,1,0,2,1,0,0,0,2,1,0,2,305637,83333,114940,259,57639.29,0.999991151945557,1,0.331,221.003,1.0,298
Q16,"{""brand"": ""Brand#11"", ""typeprefix"": ""LARGE POLISHED"", ""sizes"": ""5, 11, 13, 16, 20, 22, 41, 50""}",35866.51,35906.51,16003,44,9,6,3,2,1,0,1,0,0,2,1,1,0,2,332522,166667,179061,300,2.2435959760059987,0.9988581775790079,1,0.447,736.67,18260.0,299
Q18,"{""q"": 313}",668875.7,668875.95,100,71,16,11,3,2,2,0,1,1,1,4,2,1,0,2,9176093,6001215,6776183,528,6622.534158415841,0.9999981311958799,3,1.075,4882.961,9.0,300
Q3,"{""segment"": ""AUTOMOBILE"", ""date"": ""1995-03-28""}",202078.66,202078.68,10,44,11,8,3,2,1,0,1,0,1,2,1,1,0,2,1612261,317800,320643,256,18370.78909090909,0.999994952486069,2,0.688,664.925,10.0,301
Q9,"{""color"": ""misty""}",55523.44,55541.31,120,90,16,9,6,3,3,0,2,0,3,1,1,1,0,2,359129,333333,337570,575,459.0190909090909,0.9996602589989506,5,3.031,3404.944,175.0,302
Q15,"{""date"": ""1996-05-01""}",148967.76,149499.54,50,103,11,6,2,0,1,2,0,0,1,1,3,1,0,2,399674,236888,108751,434,2931.363529411765,0.9964362670529484,1,0.225,440.462,1.0,303
Q18,"{""q"": 312}",668875.7,668875.95,100,71,16,11,3,2,2,0,1,1,1,4,2,1,0,2,9176093,6001215,6776183,528,6622.534158415841,0.9999981311958799,3,1.076,4810.258,10.0,304
Q7,"{""nation1"": ""GERMANY"", ""nation2"": ""INDIA""}",70152.04,71047.39,6113,116,17,8,5,2,4,0,2,0,3,1,1,1,1,2,439603,146890,72704,754,11.62044324501145,0.9873839505722789,5,1.666,5358.831,4.0,305
Q6,"{""date"": ""1997-01-01"", ""discount"": 0.08, ""quantity"": 25}",169045.1,169045.11,1,32,5,4,1,0,0,2,0,0,0,0,2,1,0,2,995162,942155,53003,108,84522.555,0.999994025298778,0,0.118,513.768,1.0,306
Q2,"{""size"": 49, ""type"": ""COPPER"", ""region"": ""AMERICA""}",55389.28,55389.29,1,192,22,8,5,5,4,0,2,0,5,1,1,1,0,2,343221,160000,10428,1634,27694.645,0.999981765757139,7,1.407,584.914,100.0,307
Q18,"{""q"": 314}",668875.7,668875.95,100,71,16,11,3,2,2,0,1,1,1,4,2,1,0,2,9176093,6001215,6776183,528,6622.534158415841,0.9999981311958799,3,1.079,4908.884,9.0,308
Q8,"{""nation"": ""KENYA"", ""region"": ""AFRICA"", ""type"": ""PROMO BRUSHED COPPER""}",75778.7,76156.66,2406,64,21,9,7,4,4,0,3,0,4,1,1,1,0,2,36143,16549,637,522,31.639659326963027,0.9950240067775191,7,2.441,330.999,2.0,309
Q18,"{""q"": 313}",668875.7,668875.95,100,71,16,11,3,2,2,0,1,1,1,4,2,1,0,2,9176093,6001215,6776183,528,6622.534158415841,0.9999981311958799,3,1.033,4914.818,9.0,310
Q7,"{""nation1"": ""GERMANY"", ""nation2"": ""MOZAMBIQUE""}",70152.04,71047.39,6113,116,17,8,5,2,4,0,2,0,3,1,1,1,1,2,439603,146890,72704,754,11.62044324501145,0.9873839505722789,5,1.675,5326.127,4.0,311
Q21,"{""nation"": ""FRANCE""}",72876.29,72876.3,1,34,17,11,4,3,3,0,1,0,4,2,1,1,0,2,492655,305684,315908,432,36438.15,0.9999861410892005,5,2.387,3278.375,100.0,312
Q10,"{""date"": ""1994-01-01""}",194232.24,194232.29,20,202,16,10,4,3,0,2,3,0,0,2,1,1,0,2,1067672,599455,684640,1716,9249.156666666668,0.9999945941295644,3,1.043,864.707,20.0,313
Q12,"{""m1"": ""FOB"", ""m2"": ""SHIP"", ""date"": ""1995-01-01""}",210271.76,210511.61,7,27,8,6,2,2,0,0,1,0,0,1,2,1,0,2,672506,624951,636832,185,26313.95125,0.9988558880154497,1,0.355,696.866,2.0,314
Q19,"{""b1"": ""Brand#41"", ""b2"": ""Brand#53"", ""b3"": ""Brand#33"", ""q1"": 5, ""q2"": 20, ""q3"": 29}",33140.76,33140.77,1,32,6,4,2,1,1,0,0,0,1,0,2,1,0,2,257,205,206,159,16570.385,0.9999695248624321,1,0.539,81.843,1.0,315
Q13,"{""w1"": ""special"", ""w2"": ""accounts""}",144054.1,144054.6,200,16,10,8,2,1,1,0,1,0,0,2,3,1,0,2,2160050,612325,674825,104,716.689552238806,0.9999895873537717,1,0.371,1055.582,42.0,316
Q1,"{""delta"": 88}",231107.5,231109.75,6,236,5,4,1,1,0,0,0,0,0,1,2,1,0,2,2464573,2464541,2464541,969,33015.67857142857,0.9999859374780273,0,0.265,2800.023,4.0,317
Q19,"{""b1"": ""Brand#52"", ""b2"": ""Brand#14"", ""b3"": ""Brand#15"", ""q1"": 6, ""q2"": 15, ""q3"": 23}",32914.43,32914.44,1,32,6,4,2,1,1,0,0,0,1,0,2,1,0,2,255,203,204,159,16457.22,0.999969315312206,1,0.522,71.115,1.0,318
Q8,"{""nation"": ""SAUDI ARABIA"", ""region"": ""MIDDLE EAST"", ""type"": ""SMALL BURNISHED STEEL""}",75778.7,76156.66,2406,64,21,9,7,4,4,0,3,0,4,1,1,1,0,2,36143,16549,637,522,31.639659326963027,0.9950240067775191,7,2.342,336.964,2.0,319
Q5,"{""region"": ""EUROPE"", ""date"": ""1996-01-01""}",86626.88,86626.94,25,58,19,12,6,4,2,0,3,0,2,2,2,1,0,2,196871,76455,72546,588,3331.805384615385,0.9999877637630539,5,2.255,843.046,5.0,320
Q14,"{""date"": ""1996-06-01""}",117744.9,117744.91,1,32,8,5,2,1,0,2,1,0,0,0,2,1,0,2,315726,83333,117235,259,58872.455,0.9999914222073615,1,0.329,223.163,1.0,321
Q5,"{""region"": ""AMERICA"", ""date"": ""1995-01-01""}",86450.85,86450.91,25,58,19,12,6,4,2,0,3,0,2,2,2,1,0,2,195866,75699,72546,588,3325.0350000000003,0.9999877388481064,5,2.296,826.215,5.0,322
Q2,"{""size"": 17, ""type"": ""NICKEL"", ""region"": ""AMERICA""}",60283.59,60283.6,1,192,22,8,5,5,4,0,2,0,5,1,1,1,0,2,343504,160000,10511,1634,30141.8,0.999983246135829,7,1.414,620.232,100.0,323
Q5,"{""region"": ""AMERICA"", ""date"": ""1996-01-01""}",86626.88,86626.94,25,58,19,12,6,4,2,0,3,0,2,2,2,1,0,2,196871,76455,72546,588,3331.805384615385,0.9999877637630539,5,2.311,848.357,5.0,324
Q2,"{""size"": 44, ""type"": ""STEEL"", ""region"": ""MIDDLE EAST""}",53748.36,53748.36,1,192,22,8,5,5,4,0,2,0,5,1,1,1,0,2,343126,160000,10400,1634,26874.18,0.9999813951273094,7,1.396,574.256,100.0,325
Q18,"{""q"": 314}",668875.7,668875.95,100,71,16,11,3,2,2,0,1,1,1,4,2,1,0,2,9176093,6001215,6776183,528,6622.534158415841,0.9999981311958799,3,1.114,4893.578,9.0,326
Q8,"{""nation"": ""ROMANIA"", ""region"": ""EUROPE"", ""type"": ""STANDARD PLATED TIN""}",75778.7,76156.66,2406,64,21,9,7,4,4,0,3,0,4,1,1,1,0,2,36143,16549,637,522,31.639659326963027,0.9950240067775191,7,2.43,357.633,2.0,327
Q14,"{""date"": ""1995-01-01""}",114965.67,114965.68,1,32,8,5,2,1,0,2,1,0,0,0,2,1,0,2,304441,83333,114668,259,57482.84,0.9999912148459015,1,0.326,209.502,1.0,328
Q17,"{""brand"": ""Brand#24"", ""container"": ""JUMBO BOX""}",195999.57,195999.58,1,32,9,4,2,2,0,2,1,0,0,0,2,1,0,2,6003754,6001215,6001328,106,97999.79,0.9999948469540244,1,0.333,1887.741,1.0,329
Q4,"{""date"": ""1997-03-01""}",71826.23,71872.26,5,24,8,6,2,0,1,2,0,0,1,1,2,1,0,2,95186,58797,24505,128,11978.71,0.9993456537243476,1,0.824,306.252,5.0,330
Q5,"{""region"": ""ASIA"", ""date"": ""1993-01-01""}",86574.79,86574.85,25,58,19,12,6,4,2,0,3,0,2,2,2,1,0,2,196573,76231,72546,588,3329.8019230769232,0.99998775640089,5,2.328,837.069,5.0,331
Q2,"{""size"": 50, ""type"": ""COPPER"", ""region"": ""AFRICA""}",54800.2,54800.21,1,192,22,8,5,5,4,0,2,0,5,1,1,1,0,2,343187,160000,10418,1634,27400.105,0.999981569750011,7,1.399,560.074,100.0,332
Q4,"{""date"": ""1994-09-01""}",71462.22,71507.48,5,24,8,6,2,0,1,2,0,0,1,1,2,1,0,2,93535,57777,24080,128,11917.913333333332,0.9993530837181829,1,0.365,306.986,5.0,333
Q14,"{""date"": ""1993-06-01""}",113765.95,113765.97,1,32,8,5,2,1,0,2,1,0,0,0,2,1,0,2,300056,83333,113671,259,56882.985,0.9999910343045965,1,0.339,212.709,1.0,334
Q19,"{""b1"": ""Brand#23"", ""b2"": ""Brand#25"", ""b3"": ""Brand#44"", ""q1"": 2, ""q2"": 20, ""q3"": 21}",32128.98,32128.99,1,32,6,4,2,1,1,0,0,0,1,0,2,1,0,2,246,196,197,159,16064.495,0.9999685651940756,1,0.549,73.101,1.0,335
Q3,"{""segment"": ""MACHINERY"", ""date"": ""1995-03-12""}",204882.12,204882.14,10,44,11,8,3,2,1,0,1,0,1,2,1,1,0,2,1634601,324455,316685,256,18625.649090909094,0.9999950215522858,2,0.692,660.233,10.0,336
Q18,"{""q"": 314}",668875.7,668875.95,100,71,16,11,3,2,2,0,1,1,1,4,2,1,0,2,9176093,6001215,6776183,528,6622.534158415841,0.9999981311958799,3,1.058,4946.429,9.0,337
Q19,"{""b1"": ""Brand#14"", ""b2"": ""Brand#23"", ""b3"": ""Brand#33"", ""q1"": 8, ""q2"": 12, ""q3"": 23}",32688.28,32688.29,1,32,6,4,2,1,1,0,0,0,1,0,2,1,0,2,252,201,202,159,16344.145,0.9999691030303809,1,0.536,77.928,1.0,338
Q1,"{""delta"": 114}",230292.17,230294.43,6,236,5,4,1,1,0,0,0,0,0,1,2,1,0,2,2441278,2441246,2441246,969,32899.20428571429,0.9999858442696845,0,0.161,2775.746,4.0,339
Q4,"{""date"": ""1994-08-01""}",71621.4,71667.0,5,24,8,6,2,0,1,2,0,0,1,1,2,1,0,2,94268,58230,24268,128,11944.5,0.9993497795389853,1,0.378,299.786,5.0,340
Q7,"{""nation1"": ""IRAN"", ""nation2"": ""ETHIOPIA""}",70152.04,71047.39,6113,116,17,8,5,2,4,0,2,0,3,1,1,1,1,2,439603,146890,72704,754,11.62044324501145,0.9873839505722789,5,1.768,5141.282,4.0,341
Q15,"{""date"": ""1997-08-01""}",148869.55,149401.32,50,103,11,6,2,0,1,2,0,0,1,1,3,1,0,2,392500,231824,106641,434,2929.4376470588236,0.9964339911187455,1,0.228,424.867,1.0,342
Q1,"{""delta"": 72}",231531.24,231533.5,6,236,5,4,1,1,0,0,0,0,0,1,2,1,0,2,2476680,2476648,2476648,969,33076.21428571428,0.9999859200248775,0,0.207,2858.417,4.0,343
Q7,"{""nation1"": ""UNITED STATES"", ""nation2"": ""GERMANY""}",70152.04,71047.39,6113,116,17,8,5,2,4,0,2,0,3,1,1,1,1,2,439603,146890,72704,754,11.62044324501145,0.9873839505722789,5,2.117,5255.391,4.0,344
Q6,"{""date"": ""1995-01-01"", ""discount"": 0.02, ""quantity"": 25}",168272.94,168272.95,1,32,5,4,1,0,0,2,0,0,0,0,2,1,0,2,944786,895855,48927,108,84136.475,0.9999939978826193,0,0.121,513.654,1.0,345
Q1,"{""delta"": 97}",230850.04,230852.29,6,236,5,4,1,1,0,0,0,0,0,1,2,1,0,2,2457217,2457185,2457185,969,32978.89857142857,0.9999859217947468,0,0.206,2772.871,4.0,346
Q2,"{""size"": 24, ""type"": ""BRASS"", ""region"": ""AMERICA""}",56074.2,56074.21,1,192,22,8,5,5,4,0,2,0,5,1,1,1,0,2,343260,160000,10439,1634,28037.105,0.9999819884758345,7,1.853,587.881,100.0,347
Q3,"{""segment"": ""HOUSEHOLD"", ""date"": ""1995-03-14""}",205252.25,205252.27,10,44,11,8,3,2,1,0,1,0,1,2,1,1,0,2,1637703,325054,317267,256,18659.29727272727,0.9999950305298425,2,0.723,660.712,10.0,348
Q4,"{""date"": ""1995-09-01""}",70127.53,70169.97,5,24,8,6,2,0,1,2,0,0,1,1,2,1,0,2,87523,54063,22532,128,11694.995,0.9993809405798437,1,0.357,303.339,5.0,349
Q21,"{""nation"": ""CANADA""}",72876.29,72876.3,1,34,17,11,4,3,3,0,1,0,4,2,1,1,0,2,492655,305684,315908,432,36438.15,0.9999861410892005,5,2.357,3318.372,100.0,350
Q12,"{""m1"": ""TRUCK"", ""m2"": ""RAIL"", ""date"": ""1996-01-01""}",210324.14,210575.41,7,27,8,6,2,2,0,0,1,0,0,1,2,1,0,2,674790,624951,637403,185,26321.92625,0.9988020025604958,1,0.388,698.485,2.0,351
Q14,"{""date"": ""1994-07-01""}",116269.42,116269.43,1,32,8,5,2,1,0,2,1,0,0,0,2,1,0,2,309525,83333,115824,259,58134.715,0.9999913133545649,1,0.334,209.931,1.0,352
Q2,"{""size"": 47, ""type"": ""BRASS"", ""region"": ""MIDDLE EAST""}",56905.9,56905.9,1,192,22,8,5,5,4,0,2,0,5,1,1,1,0,2,343308,160000,10453,1634,28452.95,0.9999824274385004,7,1.398,580.455,100.0,353
Q18,"{""q"": 312}",668875.7,668875.95,100,71,16,11,3,2,2,0,1,1,1,4,2,1,0,2,9176093,6001215,6776183,528,6622.534158415841,0.9999981311958799,3,1.069,4796.44,10.0,354
